Code,Company,Sector,Market Cap,Weight(%)
ABP,Abacus Property Group,Real Estate,"1,529,190,000",0.1
ABC,Adelaide Brighton Ltd,Materials,"1,349,070,000",0.09
APT,Afterpay Ltd,Information Technology,"5,001,250,000",0.34
AGL,AGL Energy Ltd,Utilities,"10,865,100,000",0.73
ALQ,Als Ltd,Industrials,"2,682,290,000",0.18
ALU,Altium Ltd,Information Technology,"3,744,310,000",0.25
AWC,Alumina Ltd,Materials,"4,204,570,000",0.28
AMC,Amcor Plc,Materials,"13,198,700,000",0.89
AMP,AMP Ltd,Financials,"4,587,860,000",0.31
ANN,Ansell Ltd,Health Care,"3,503,360,000",0.24
APE,AP Eagers Ltd,Consumer Discretionary,"778,507,000",0.05
APA,APA Group,Utilities,"12,105,700,000",0.82
APX,Appen Ltd,Information Technology,"2,395,270,000",0.16
ARB,ARB Corporation Ltd,Consumer Discretionary,"1,140,780,000",0.08
ALL,Aristocrat Leisure Ltd,Consumer Discretionary,"13,632,900,000",0.92
ASX,ASX Ltd,Financials,"14,924,300,000",1.01
ALX,Atlas Arteria,Industrials,"4,843,420,000",0.33
AZJ,Aurizon Holdings Ltd,Industrials,"8,158,870,000",0.55
AST,Ausnet Services Ltd,Utilities,"6,372,900,000",0.43
ASB,Austal Ltd,Industrials,"1,037,530,000",0.07
ANZ,Australia and New Zealand Banking Group Ltd,Financials,"48,101,600,000",3.25
AVH,Avita Medical Ltd,Health Care,"1,087,520,000",0.07
BOQ,Bank of Queensland Ltd,Financials,"2,271,680,000",0.15
BAP,Bapcor Ltd,Consumer Discretionary,"1,168,680,000",0.08
BPT,Beach Energy Ltd,Energy,"2,622,930,000",0.18
BGA,Bega Cheese Ltd,Consumer Staples,"981,242,000",0.07
BEN,Bendigo and Adelaide Bank Ltd,Financials,"3,299,770,000",0.22
BHP,BHP Group Ltd,Materials,"85,370,800,000",5.76
BIN,Bingo Industries Ltd,Industrials,"1,242,240,000",0.08
BKL,Blackmores Ltd,Consumer Staples,"1,268,990,000",0.09
BSL,Bluescope Steel Ltd,Materials,"4,337,720,000",0.29
BLD,Boral Ltd,Materials,"2,403,280,000",0.16
BXB,Brambles Ltd,Industrials,"16,150,900,000",1.09
BVS,Bravura Solutions Ltd,Information Technology,"943,163,000",0.06
BRG,Breville Group Ltd,Consumer Discretionary,"2,200,850,000",0.15
BKW,Brickworks Ltd,Materials,"1,980,680,000",0.13
BWP,BWP Trust,Real Estate,"2,151,990,000",0.15
CTX,Caltex Australia Ltd,Energy,"5,573,460,000",0.38
CAR,Carsales.com Ltd,Communication Services,"2,881,900,000",0.19
CGF,Challenger Ltd,Financials,"2,449,200,000",0.17
CHC,Charter Hall Group,Real Estate,"3,195,230,000",0.22
CLW,Charter Hall Long Wale REIT,Real Estate,"2,142,020,000",0.14
CQR,Charter Hall Retail REIT,Real Estate,"1,449,450,000",0.1
CNU,Chorus Ltd,,"2,932,920,000",0.2
CIM,Cimic Group Ltd,Industrials,"7,526,650,000",0.51
CWY,Cleanaway Waste Management Ltd,Industrials,"3,477,150,000",0.23
CUV,Clinuvel Pharmaceuticals Ltd,Health Care,"944,232,000",0.06
CCL,Coca-Cola Amatil Ltd,Consumer Staples,"6,400,160,000",0.43
COH,Cochlear Ltd,Health Care,"12,018,500,000",0.81
COL,Coles Group Ltd,Consumer Staples,"20,222,400,000",1.37
CKF,Collins Foods Ltd,Consumer Discretionary,"631,870,000",0.04
CBA,Commonwealth Bank of Australia,Financials,"109,436,000,000",7.39
CPU,Computershare Ltd,Information Technology,"5,251,940,000",0.35
COE,Cooper Energy Ltd,Energy,"691,325,000",0.05
CTD,Corporate Travel Management Ltd,Consumer Discretionary,"950,488,000",0.06
CGC,Costa Group Holdings Ltd,Consumer Staples,"1,102,280,000",0.07
CCP,Credit Corp Group Ltd,Financials,"751,829,000",0.05
CMW,Cromwell Property Group,Real Estate,"2,090,300,000",0.14
CWN,Crown Resorts Ltd,Consumer Discretionary,"5,146,400,000",0.35
CSL,CSL Ltd,Health Care,"134,707,000,000",9.09
CSR,CSR Ltd,Materials,"1,538,660,000",0.1
DXS,Dexus,Real Estate,"9,966,290,000",0.67
DHG,Domain Holdings Australia Ltd,Communication Services,"1,180,210,000",0.08
DMP,Domino's PIZZA Enterprises Ltd,Consumer Discretionary,"4,406,780,000",0.3
DOW,Downer Edi Ltd,Industrials,"1,772,210,000",0.12
ELD,Elders Ltd,Consumer Staples,"1,170,660,000",0.08
EML,EML Payments Ltd,Information Technology,"748,463,000",0.05
EHE,Estia Health Ltd,Health Care,"349,860,000",0.02
EVN,Evolution Mining Ltd,Materials,"6,510,820,000",0.44
FPH,Fisher & Paykel Healthcare Corporation Ltd,Health Care,"16,570,300,000",1.12
FBU,Fletcher Building Ltd,Materials,"2,670,590,000",0.18
FLT,Flight Centre Travel Group Ltd,Consumer Discretionary,"1,002,290,000",0.07
FMG,Fortescue Metals Group Ltd,Materials,"30,789,600,000",2.08
GUD,G.U.D. Holdings Ltd,Consumer Discretionary,"812,390,000",0.05
GEM,G8 Education Ltd,Consumer Discretionary,"384,248,000",0.03
GOR,Gold Road Resources Ltd,Materials,"1,209,610,000",0.08
GMG,Goodman Group,Real Estate,"22,123,800,000",1.49
GPT,GPT Group,Real Estate,"7,070,980,000",0.48
